observation_id,git_revision,benchmark_config_sha256,workload_sha256,library,library_version,renderer,workload_size,repeat_index,execution_order_index,render_ms,update_ms,browser_name,browser_version,viewport_width,viewport_height,device_pixel_ratio,status,failure_code
OBS-VIS-00092,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,D3,7.9.0,svg,100,3,92,31.3,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00093,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,D3,7.9.0,svg,10000,8,93,140,106.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00094,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,4e0f18ce5dd9532411cab14c6e4633216a8a36331fc602117fc07af1f6f9d436,Chart.js,4.4.8,canvas,5000,4,94,33.6,33.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00095,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,D3,7.9.0,svg,10000,9,95,124.9,84.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00096,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,Chart.js,4.4.8,canvas,1000,1,96,17.8,17.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00097,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,4e0f18ce5dd9532411cab14c6e4633216a8a36331fc602117fc07af1f6f9d436,ECharts,5.6.0,canvas,5000,6,97,109.9,94.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00098,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,D3,7.9.0,svg,1000,4,98,18.8,29.6,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00099,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,ECharts,5.6.0,canvas,1000,8,99,25.5,33,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00100,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,D3,7.9.0,svg,1000,6,100,17.5,17.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00101,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,Chart.js,4.4.8,canvas,100,10,101,18.2,15.9,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00102,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,Chart.js,4.4.8,canvas,1000,5,102,17.3,15.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00103,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,Chart.js,4.4.8,canvas,10000,2,103,57,56.1,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00104,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,ECharts,5.6.0,canvas,1000,5,104,18.6,32.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00105,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,6d5d7b2997eb34afc962ba44cc1602225cac40392f1963c7e8c6b6af580a4f00,ECharts,5.6.0,canvas,100,10,105,17.8,33.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00106,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,4e0f18ce5dd9532411cab14c6e4633216a8a36331fc602117fc07af1f6f9d436,D3,7.9.0,svg,5000,4,106,62.6,48.7,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00107,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,Chart.js,4.4.8,canvas,1000,3,107,15,16.7,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00108,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,4e0f18ce5dd9532411cab14c6e4633216a8a36331fc602117fc07af1f6f9d436,D3,7.9.0,svg,5000,10,108,70.2,58.3,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00109,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,D3,7.9.0,svg,1000,5,109,34.4,16.5,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00110,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,Chart.js,4.4.8,canvas,1000,4,110,16.9,32.8,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00111,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,8b2911770f4e9d06cf8306aa8390b6e9e89c86ad6131e1ee69f0c151f1c1db68,Chart.js,4.4.8,canvas,10000,1,111,57.2,55.4,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00112,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,Chart.js,4.4.8,canvas,1000,8,112,17.7,33,Edge,151.0.0.0,1440,900,1,COMPLETED,
OBS-VIS-00113,6276e0888e0f6ef7e8e676a451b80f7831504130,19c6c6cfbe908971fc21fd54a41f4e0598c6ec38bb263f18c3febc525b46691e,a02acfc720e8c40934a036e9e7b7bd67e2507ecece75ef552bec97d374eeef6a,ECharts,5.6.0,canvas,1000,4,113,27.6,24.2,Edge,151.0.0.0,1440,900,1,COMPLETED,
