observation_id,git_revision,min_support,repeat_index,k,source,generated,pruned,evaluated,frequent,pruning_ratio
OBS-00016,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,1,2,join_prune,276,0,276,131,0.000000
OBS-00016,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,1,3,join_prune,563,208,355,310,0.369449
OBS-00016,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,1,4,join_prune,649,243,406,379,0.374422
OBS-00016,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,1,5,join_prune,390,134,256,250,0.343590
OBS-00016,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,1,6,join_prune,118,34,84,84,0.288136
OBS-00016,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,1,7,join_prune,16,5,11,11,0.312500
OBS-00017,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,5,1,singleton_scan,119,0,119,21,0.000000
OBS-00017,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,5,2,join_prune,210,0,210,97,0.000000
OBS-00017,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,5,3,join_prune,321,106,215,185,0.330218
OBS-00017,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,5,4,join_prune,305,119,186,170,0.390164
OBS-00017,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,5,5,join_prune,130,52,78,76,0.400000
OBS-00017,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,5,6,join_prune,18,3,15,15,0.166667
OBS-00017,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,5,7,join_prune,1,0,1,1,0.000000
OBS-00018,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,5,1,singleton_scan,119,0,119,24,0.000000
OBS-00018,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,5,2,join_prune,276,0,276,131,0.000000
OBS-00018,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,5,3,join_prune,563,208,355,310,0.369449
OBS-00018,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,5,4,join_prune,649,243,406,379,0.374422
OBS-00018,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,5,5,join_prune,390,134,256,250,0.343590
OBS-00018,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,5,6,join_prune,118,34,84,84,0.288136
OBS-00018,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,5,7,join_prune,16,5,11,11,0.312500
